SubjID, LLatVent,RLatVent,Lthal,Rthal,Lcaud,Rcaud,Lput,Rput,  Lpal,Rpal,Lhippo,Rhippo,Lamyg,Ramyg,Laccumb,Raccumb,ICV
CMU_50642,7230.5,4395.2,8143.1,7878.6,3449.7,3323,5384.5,4900.9,1546.1,1464,4830.6,4953.1,1500.7,1674.9,555.8,581.9,1.60004e+06
CMU_50643,6809.1,5924.7,8075.6,7414.9,4384,4324.9,6094.7,6099.2,2346.4,1873.2,4385.8,4743.5,1845.2,1948.9,516.4,581.7,1.5121e+06
CMU_50644,3975.4,3205.8,8861.2,8040,3371.5,3027.3,4686.6,4744.5,1544.7,1295.9,4206.8,4214.9,1661,1694.7,490.4,593.1,1.54905e+06
CMU_50645,6456.5,3697.4,9616.6,9148,3739.4,2915.7,6123,5571.4,1458.6,1591.3,4914.8,5225.7,1792.4,1726.2,575.3,637.3,1.59358e+06
CMU_50646,3603.1,3564.8,9549.9,8564.1,3346.8,3444.2,6044.5,5691.1,1385.2,1697.5,5668.3,5534,1765.7,1727.1,397.3,536.2,1.69685e+06
CMU_50647,10040.1,8825.5,6802.7,6237,3667.1,3243.3,4671,4171.5,1469.1,1383.2,4014.2,4241.4,1596.9,1609.1,550.6,545.8,1.4213e+06
CMU_50648,8784,3680.1,7113.2,6909.6,3709.7,3374.2,5644.9,5325.1,1450.2,1464.5,3925.8,3840.4,1345.8,1301.3,532.6,658.3,1.40014e+06
CMU_50649,12490.2,11524.1,8489.2,7723.8,4572.7,4441.8,7241.7,6189.5,1737.5,1773.6,5049.4,5146.8,1806.6,1822.9,498.8,596.3,1.69669e+06
CMU_50650,2906.4,2065.6,8061.8,7154.5,3197.2,2839.7,4924.9,4955.9,1390.6,1259.5,4063.9,3973,1389.4,1479.2,599.6,529.3,1.02198e+06
CMU_50651,6708.5,3574.6,10407.2,10288.2,4320.2,3204.3,6896.1,6352.5,1874.3,1649.4,4937.9,5009.9,2047,1929,562.3,544.1,1.84922e+06
CMU_50652,14813.2,6881.9,8318.7,8018.2,4154.7,3813,6033.7,5485.9,1679.4,1477.5,4685.3,5147,1670.8,1605.5,418,541.5,1.73404e+06
CMU_50653,11051.6,8240.1,8654.8,8887.7,4854,4311,6380.3,5478.6,1835.4,1819.1,4970.1,5146.2,1986.7,1884,534.6,515.2,1.79144e+06
CMU_50654,5568.9,5285.2,9239.6,8208.3,4825.8,4712.8,4633.8,4381.4,1408,1427.6,5020,5148.8,1746.8,1865.6,488.1,568.1,1.6435e+06
CMU_50655,10003.7,9849.1,10305.5,8819.7,4202.9,4152,6835.9,6465.1,1754,1919.1,5633,5867.7,2172.6,2297,657.1,862.3,1.92411e+06
CMU_50656,2345,2686.6,7325.7,6650.2,3078.4,2622.8,5057.9,4522.1,1406.6,1313.9,4387.9,4514.8,1678.8,1477.5,412.5,471.3,1.32274e+06
CMU_50657,5828.4,7344.9,9221.8,8489.1,4508.8,4329.7,6010.1,5809.8,1785.6,1630.5,4657.9,4558.8,1708.4,1705.9,537.8,690.3,1.78194e+06
CMU_50658,9450.7,8853.6,9252.3,9045.5,4580.8,4643.3,6603.6,5943.9,1922.1,1707.5,4638.6,4844.3,1777.6,1939.3,672.5,665.4,1.85862e+06
CMU_50659,6156.4,4059.4,10700.8,9547.8,5436.7,4587.2,6814.4,6821.6,1869.4,1924.2,5233.1,5587.1,2206.7,2167.1,640.4,752.5,1.82536e+06
CMU_50660,4192.4,10016,8928.3,8035.7,4164.5,4218.9,6582.8,6769.9,1559.8,1740.3,4637.3,4657,1939.5,2032.6,640.2,676.2,1.46465e+06
CMU_50661,6432.1,4800.3,7422.1,6949.1,3544.5,3282.3,5685.2,5106.2,1476.3,1335.8,4193.8,4253.3,1441.4,1524,564.4,645.3,1.44459e+06
CMU_50663,7378.3,11636.7,8282.2,8294.3,5123.4,4773.7,6831.6,6532.8,1701.7,1887.7,5094,4613.4,1936.7,2086.8,480.1,671.7,1.72639e+06
CMU_50664,4950.4,3448.2,8163.9,7366.9,3473.6,2774.3,6152.1,5317.7,1722.4,1420.1,3902.2,4566.8,1660.6,1582.9,584.1,594.7,1.55699e+06
CMU_50665,2654.8,6547.1,8695.9,7703.7,3036.8,3190.9,4492.6,4246.5,1157.4,780.9,4903.7,5010.5,1802.6,1620.2,381.4,455.1,1.44234e+06
CMU_50666,4729.1,7678.5,10691.1,8756.6,4156.3,4059.3,6713.9,6317.5,1535.7,1851.7,5214.9,5277.4,2067.3,2074.4,631.4,596.3,1.90193e+06
CMU_50667,8767.1,6875.6,8273.6,7899.5,4376.2,3996.8,6046.8,5303.1,1582.3,1540.1,4207.1,4534,1828.6,1758.2,542.4,458.5,1.59019e+06
CMU_50668,5444.7,5166,9057.5,8183.3,3408.4,3189.9,5492.5,4861.9,1471.7,1492,4405.8,4254.3,1443,1266.5,343.5,433.6,1.52752e+06
CMU_50669,5104.2,5867.1,9503.7,8408.3,3824.9,3442.2,5291.9,4658.2,1434.3,1455.9,4063.8,4195,1644.1,1655.8,444.8,482.1,1.61151e+06
