SubjID,L_bankssts_thickavg,L_caudalanteriorcingulate_thickavg,L_caudalmiddlefrontal_thickavg,L_cuneus_thickavg,L_entorhinal_thickavg,L_fusiform_thickavg,L_inferiorparietal_thickavg,L_inferiortemporal_thickavg,L_isthmuscingulate_thickavg,L_lateraloccipital_thickavg,L_lateralorbitofrontal_thickavg,L_lingual_thickavg,L_medialorbitofrontal_thickavg,L_middletemporal_thickavg,L_parahippocampal_thickavg,L_paracentral_thickavg,L_parsopercularis_thickavg,L_parsorbitalis_thickavg,L_parstriangularis_thickavg,L_pericalcarine_thickavg,L_postcentral_thickavg,L_posteriorcingulate_thickavg,L_precentral_thickavg,L_precuneus_thickavg,L_rostralanteriorcingulate_thickavg,L_rostralmiddlefrontal_thickavg,L_superiorfrontal_thickavg,L_superiorparietal_thickavg,L_superiortemporal_thickavg,L_supramarginal_thickavg,L_frontalpole_thickavg,L_temporalpole_thickavg,L_transversetemporal_thickavg,L_insula_thickavg,R_bankssts_thickavg,R_caudalanteriorcingulate_thickavg,R_caudalmiddlefrontal_thickavg,R_cuneus_thickavg,R_entorhinal_thickavg,R_fusiform_thickavg,R_inferiorparietal_thickavg,R_inferiortemporal_thickavg,R_isthmuscingulate_thickavg,R_lateraloccipital_thickavg,R_lateralorbitofrontal_thickavg,R_lingual_thickavg,R_medialorbitofrontal_thickavg,R_middletemporal_thickavg,R_parahippocampal_thickavg,R_paracentral_thickavg,R_parsopercularis_thickavg,R_parsorbitalis_thickavg,R_parstriangularis_thickavg,R_pericalcarine_thickavg,R_postcentral_thickavg,R_posteriorcingulate_thickavg,R_precentral_thickavg,R_precuneus_thickavg,R_rostralanteriorcingulate_thickavg,R_rostralmiddlefrontal_thickavg,R_superiorfrontal_thickavg,R_superiorparietal_thickavg,R_superiortemporal_thickavg,R_supramarginal_thickavg,R_frontalpole_thickavg,R_temporalpole_thickavg,R_transversetemporal_thickavg,R_insula_thickavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
Leuven_50722,3.068,2.777,2.351,2.155,3.079,2.806,2.604,2.866,3.034,2.429,3.097,2.363,2.694,3.195,2.956,2.587,2.588,2.98,2.716,1.6,1.98,3.017,2.477,2.754,3.471,2.409,2.828,2.346,3.401,2.561,2.913,4.476,2.85,3.134,2.734,2.569,2.422,1.974,3.305,2.949,2.528,3.01,2.803,2.324,2.77,2.466,3.088,3.192,3.138,2.558,2.83,2.632,2.582,1.855,1.997,2.72,2.49,2.649,3.46,2.324,2.969,2.186,3.24,2.554,3.197,4.462,2.785,3.311,2.65774,2.63951,81178.8,81188.9,1.38525e+06
Leuven_50723,2.589,2.535,2.042,2.05,3.337,3.057,2.492,3.029,2.691,2.342,2.868,2.12,2.786,3.239,3.189,2.462,2.671,2.623,2.706,1.629,1.989,2.837,2.406,2.755,3.445,2.38,2.752,2.194,3.149,2.567,3.091,3.742,2.751,3.169,2.658,2.375,2.425,2.364,2.97,3.057,2.664,2.918,2.545,2.298,2.591,2.329,2.688,2.934,3.244,2.581,2.801,2.573,2.666,1.916,1.872,2.632,2.476,2.565,3.283,2.3,2.766,2.204,3.17,2.591,3.14,3.488,2.533,3.292,2.59201,2.58439,78093.8,79127.5,1.22968e+06
Leuven_50724,2.539,2.552,2.415,2.06,3.305,2.886,2.703,2.877,2.593,2.37,2.793,2.271,2.605,2.878,3.169,2.665,2.464,2.542,2.531,1.52,2.144,2.868,2.587,2.661,3.081,2.22,2.875,2.404,2.973,2.661,3.06,3.753,2.475,3.338,2.806,2.466,2.483,2.161,3.433,2.874,2.579,2.629,2.722,2.202,2.452,2.261,2.567,3.034,2.768,2.625,2.687,2.585,2.437,1.803,1.863,2.637,2.542,2.58,2.981,2.232,2.828,2.275,3.076,2.599,2.707,4.023,2.954,3.214,2.5971,2.5524,93474.7,93731.5,1.60144e+06
Leuven_50725,2.524,2.604,2.432,1.782,3.777,2.661,2.466,2.762,2.555,2.071,2.746,2.019,2.199,2.961,2.79,2.498,2.653,2.963,2.272,1.369,1.738,2.724,2.387,2.542,2.797,2.096,2.651,2.102,2.875,2.461,2.311,3.438,2.651,3.114,2.645,2.625,2.365,1.981,3.527,2.675,2.502,2.793,2.784,2.139,2.395,2.151,2.323,3.052,2.556,2.49,2.721,2.608,2.599,1.455,1.942,2.866,2.393,2.475,2.861,2.265,2.7,2.034,2.865,2.486,2.536,3.41,2.531,3.388,2.43005,2.47857,96023.5,95578.8,1.72045e+06
Leuven_50726,2.384,3.116,2.455,1.913,3.584,2.907,2.58,2.78,2.942,2.075,2.974,2.313,2.749,2.897,2.798,2.668,2.634,3.01,2.742,1.527,2.082,2.973,2.732,2.741,3.554,2.462,2.653,2.425,3.046,2.62,2.608,3.976,2.707,3.392,2.914,2.723,2.478,1.99,4.05,2.843,2.505,3.066,2.79,2.115,2.638,2.461,2.631,3.214,2.965,2.665,2.562,2.48,2.64,1.638,1.987,2.813,2.674,2.699,3.068,2.344,2.909,2.313,3.075,2.476,2.782,3.74,2.452,3.384,2.62671,2.62203,94181.9,94653.9,1.38531e+06
Leuven_50727,2.795,3.126,2.201,2.265,3.841,3.041,2.757,3.044,3.09,2.323,3.012,2.316,2.673,3.186,3.162,2.514,2.874,3.191,2.542,1.715,1.938,2.99,2.433,2.557,3.376,2.254,2.517,2.133,3.173,2.664,3.155,4.372,2.822,3.241,2.589,2.516,2.574,2.147,3.718,3.044,2.456,3.103,2.656,2.198,2.646,2.311,2.931,3.077,2.84,2.435,2.912,2.487,2.632,1.807,2.033,2.823,2.494,2.607,3.222,2.265,2.833,1.95,3.179,2.49,2.915,4.188,2.831,3.593,2.6163,2.59507,86930.9,88354.2,1.52065e+06
Leuven_50728,2.686,2.981,2.316,2.035,3.437,2.879,2.718,3.109,3.077,2.461,3.045,2.215,2.634,3.257,2.601,2.565,2.814,3.294,2.687,2.026,2.217,2.912,2.567,2.561,3.549,2.3,2.656,2.254,3.036,2.662,3.046,4.371,2.634,2.921,2.607,2.821,2.564,2.188,3.914,2.981,2.583,3.095,2.704,2.398,2.621,2.44,2.953,3.268,2.725,2.523,2.602,2.857,2.327,1.881,2.079,2.605,2.579,2.647,3.135,2.437,2.842,2.195,3.13,2.615,3.042,4.422,2.468,3.566,2.64962,2.65306,80422.6,80049.4,1.32496e+06
Leuven_50730,2.646,2.999,2.313,1.971,3.285,2.732,2.45,2.558,2.805,2.181,2.985,2.221,2.758,2.754,3.368,2.347,2.595,2.218,2.405,1.776,2.061,3.06,2.467,2.574,3.133,2.209,2.691,2.124,2.832,2.562,3.394,3.771,3.016,3.279,2.651,2.649,2.489,2.132,3.694,3.109,2.34,3.011,3.061,2.47,2.555,2.398,2.957,2.928,3.192,2.48,2.901,2.624,2.565,1.818,2.07,2.994,2.526,2.527,3.138,2.29,2.676,2.178,3.152,2.559,2.562,3.511,2.775,3.437,2.5264,2.60548,82960.9,84601.6,1.45214e+06
Leuven_50731,2.626,2.336,2.282,1.793,3.657,2.836,2.41,3.001,2.572,2.054,2.831,2.137,2.459,3.143,2.524,2.207,2.495,2.745,2.677,1.671,1.866,2.468,2.495,2.356,3.106,2.259,2.503,2.021,2.854,2.258,2.527,3.681,2.423,3.059,2.447,2.436,2.362,1.903,3.94,2.846,1.939,3.006,2.434,1.94,2.512,2.265,2.549,2.847,2.222,2.303,2.629,2.607,2.478,1.602,1.666,2.391,2.381,2.333,2.94,2.08,2.64,1.891,2.815,2.022,2.888,4.023,2.133,3.191,2.45325,2.34628,96268,96069.2,1.78891e+06
Leuven_50732,2.868,2.939,2.336,2.057,3.823,2.685,2.421,2.66,2.417,2.029,2.87,2.266,2.935,3.188,3.136,2.797,2.576,3.062,2.34,1.753,2.186,2.85,2.565,2.619,2.916,2.089,2.905,2.234,2.988,2.584,3.135,3.781,3.084,3.292,2.406,2.639,2.451,2.161,3.63,2.864,2.373,2.778,2.296,2.069,2.714,2.213,2.965,2.885,3.194,2.778,2.796,3.107,2.611,1.972,2.128,2.64,2.641,2.422,3.167,2.442,2.741,2,3.032,2.33,3.132,3.669,2.348,3.207,2.56534,2.5378,97080.4,95967.8,1.72594e+06
Leuven_50733,2.903,2.716,2.51,1.944,3.533,2.754,2.623,2.906,2.422,2.163,2.823,2.374,2.45,3.185,3.388,2.44,2.513,2.867,2.504,1.593,2.143,2.612,2.57,2.561,2.969,2.272,2.642,2.228,3.018,2.529,2.673,4.109,2.794,3.145,2.665,2.563,2.447,2.036,3.613,2.816,2.53,2.783,2.455,2.258,2.542,2.362,2.742,2.996,3.589,2.577,2.814,2.638,2.555,1.84,2.027,2.579,2.551,2.55,3.004,2.283,2.812,2.215,3.036,2.662,3.06,3.891,2.545,3.374,2.55987,2.57249,88084.6,87369.9,1.49262e+06
