SubjID, LLatVent,RLatVent,Lthal,Rthal,Lcaud,Rcaud,Lput,Rput,  Lpal,Rpal,Lhippo,Rhippo,Lamyg,Ramyg,Laccumb,Raccumb,ICV
Yale_50551,2373,2473.5,6981.6,6717.6,3020.3,3349.9,6736.1,6069.4,1598.1,1381.7,4185.4,4132.4,1907.1,1819.7,660.1,747,1.5748e+06
Yale_50552,3476.2,3128.2,7114.1,6155,3678.3,3820.1,5840.3,5792.1,1498,1700.8,4966.7,4340.2,1842.2,2017,597.1,769.7,1.68445e+06
Yale_50553,2501.1,1552.8,7666.9,7353.1,3810.7,4058.3,4828.2,5047.6,2401.7,1890.6,4721.2,4422.4,1678.9,1584.8,777.8,850.9,1.29059e+06
Yale_50554,5211.4,3818.8,5499.1,6661.8,3115.5,3316.8,5267.4,5671.6,1827.4,1469.7,3815.5,3986.8,1469.8,1706.3,483.1,578,1.36914e+06
Yale_50555,5944.2,5086.2,8873,9424.7,4199.3,4683.4,7284.7,6711.7,1858.3,1833.6,4266.4,4285.7,1664.5,1821.5,772.8,759,1.45853e+06
Yale_50556,4118,4020.7,6197.2,6380.9,3784.2,4335.6,6467.2,6032.8,1928.8,1561.1,4276.6,4039.1,1548.5,1457.2,646.3,676.7,1.42193e+06
Yale_50557,3827.6,4058.8,8899.7,7610.8,4465.7,4962,6692.8,7255.7,2110.5,1902,5227.6,5473.7,1973.8,2061.2,1060.6,975.3,1.49789e+06
Yale_50558,4369.8,4039.2,7092,6393.6,3420.8,3479.6,4732.2,4350.8,2043.1,1826,3990.7,4187.1,1559.3,1718,646.6,752.4,1.27593e+06
Yale_50559,3460,2622,7476.3,7879.8,3909.6,3979.7,8885.9,7600.2,2094,1847.9,4183,4405.6,1971.5,1994.7,840.2,893.5,1.51462e+06
Yale_50560,2251.3,1871.6,7373.2,7525.8,3803.7,4038.4,7055.9,6735.5,2457.7,1859.1,4225.7,4193,1619,1482.8,693.3,825.9,1.48462e+06
Yale_50561,3432.7,2554.2,8268.2,7373.6,3827.9,3782.6,6611.9,6264.7,2252.4,1787.7,4736.8,4875.3,1671.9,1896.4,718.4,798.2,1.27126e+06
Yale_50562,4443.8,3451.6,8523.2,7443.2,4884.5,4665.9,9063,8354.8,2735.1,2126.3,5014,4459.8,1889.8,1881.4,961.4,970.3,1.64096e+06
Yale_50563,2235.3,2158.2,7338.8,6132.9,3210.3,3163.8,5275.8,5124.9,1253.6,1365.5,4363,4494.2,1461.2,1736.9,894.7,682.7,1.31914e+06
Yale_50564,3194,3123.9,6655,6914.5,3158.8,3358,7543.3,7150.3,1899,1632.6,3881.6,4114.7,1549.9,1612.3,766.3,787.9,1.28509e+06
